"product_id","product_name","description","price","stock_quantity","category_id","reorder_level","created_at"
1,TechMarkt ProBook 14,"14-inch business laptop with Intel Core i5 processor and 16GB RAM",899.99,10,1,10,"2026-09-17 17:12:04"
2,TechMarkt UltraBook X2,Lightweight 14-inch laptop with Intel Core i7 processor and 16GB RAM,1299.99,55,1,8,"2026-09-17 17:12:04"
3,TechMarkt Gamer G1,Gaming laptop with dedicated graphics and 32GB RAM,1799.99,18,1,5,"2026-09-17 17:12:04"
4,TechMarkt StudentBook 15,Affordable 15-inch laptop designed for students,649.99,32,1,15,"2026-09-17 17:12:04"
5,TechMarkt WorkStation Pro,High-performance workstation laptop for professional workloads,2199.99,10,1,4,"2026-09-17 17:12:04"
6,TechMarkt Monitor 24F,"24-inch Full HD IPS monitor",179.99,25,2,20,"2026-09-17 17:12:04"
7,TechMarkt Monitor 27Q,"27-inch Quad HD IPS monitor",329.99,20,2,15,"2026-09-17 17:12:04"
8,TechMarkt Monitor 34UW,"34-inch ultrawide curved monitor",599.99,15,2,10,"2026-09-17 17:12:04"
9,TechMarkt Monitor 32Pro,"32-inch professional 4K monitor",699.99,13,2,8,"2026-09-17 17:12:04"
10,TechMarkt Monitor 22E,"22-inch entry-level Full HD monitor",129.99,30,2,25,"2026-09-17 17:12:04"
11,TechMarkt Phone S1,Entry-level smartphone with 128GB storage,299.99,25,3,20,"2026-09-17 17:12:04"
12,TechMarkt Phone S2,Mid-range smartphone with 256GB storage,499.99,20,3,15,"2026-09-17 17:12:04"
13,TechMarkt Phone Pro,Premium smartphone with advanced camera system,999.99,20,3,10,"2026-09-17 17:12:04"
14,TechMarkt Phone Ultra,Flagship smartphone with 512GB storage,1299.99,17,3,6,"2026-09-17 17:12:04"
15,TechMarkt Phone Mini,Compact smartphone designed for one-handed use,549.99,17,3,12,"2026-09-17 17:12:04"
16,TechMarkt Tab 10,"10-inch tablet with 128GB storage",349.99,20,4,15,"2026-09-17 17:12:04"
17,TechMarkt Tab Pro 11,"11-inch professional tablet with stylus support",699.99,15,4,10,"2026-09-17 17:12:04"
18,TechMarkt Tab Air,Lightweight tablet for everyday use,449.99,17,4,12,"2026-09-17 17:12:04"
19,TechMarkt Tab Max,"12.9-inch high-performance tablet",899.99,11,4,6,"2026-09-17 17:12:04"
20,TechMarkt Tab Kids,Durable tablet designed for children,249.99,15,4,10,"2026-09-17 17:12:04"
21,TechMarkt Router Pro,High-performance Wi-Fi 6 router,249.99,16,5,10,"2026-09-17 17:12:04"
22,TechMarkt Router AX,Wi-Fi 6 AX3000 dual-band router,149.99,20,5,15,"2026-09-17 17:12:04"
23,TechMarkt Mesh Twin,Two-unit whole-home mesh Wi-Fi system,299.99,17,5,8,"2026-09-17 17:12:04"
24,TechMarkt Network Switch 8,"8-port Gigabit Ethernet switch",79.99,25,5,20,"2026-09-17 17:12:04"
25,TechMarkt Network Switch 24,"24-port managed Gigabit Ethernet switch",229.99,13,5,8,"2026-09-17 17:12:04"
26,TechMarkt Keyboard Basic,Standard wireless keyboard,39.99,35,6,30,"2026-09-17 17:12:04"
27,TechMarkt Keyboard Pro,Mechanical keyboard with RGB lighting,119.99,32,6,25,"2026-09-17 17:12:04"
28,TechMarkt Keyboard Silent,Low-profile silent mechanical keyboard,99.99,25,6,20,"2026-09-17 17:12:04"
29,TechMarkt Keyboard Compact,Compact 75-percent mechanical keyboard,89.99,25,6,20,"2026-09-17 17:12:04"
30,TechMarkt Keyboard Gaming,Gaming mechanical keyboard with programmable keys,149.99,20,6,15,"2026-09-17 17:12:04"
31,TechMarkt Mouse Basic,Wireless optical mouse,24.99,45,7,40,"2026-09-17 17:12:04"
32,TechMarkt Mouse Pro,Ergonomic wireless productivity mouse,79.99,30,7,25,"2026-09-17 17:12:04"
33,TechMarkt Mouse Gaming,High-precision gaming mouse,99.99,25,7,20,"2026-09-17 17:12:04"
34,TechMarkt Mouse Ergo,Ergonomic vertical mouse,69.99,25,7,20,"2026-09-17 17:12:04"
35,TechMarkt Mouse Travel,Compact wireless travel mouse,29.99,35,7,30,"2026-09-17 17:12:04"
36,TechMarkt Headset Basic,Wired stereo headset,39.99,35,8,30,"2026-09-17 17:12:04"
37,TechMarkt Headset Pro,Wireless noise-cancelling headset,199.99,25,8,15,"2026-09-17 17:12:04"
38,TechMarkt Earbuds S,True wireless earbuds,79.99,35,8,30,"2026-09-17 17:12:04"
39,TechMarkt Earbuds Pro,Premium wireless earbuds with active noise cancellation,179.99,25,8,20,"2026-09-17 17:12:04"
40,TechMarkt Speaker Mini,Compact Bluetooth speaker,59.99,30,8,25,"2026-09-17 17:12:04"
41,TechMarkt SSD 500,"500GB NVMe solid-state drive",59.99,30,9,25,"2026-09-17 17:12:04"
42,TechMarkt SSD 1TB,"1TB NVMe solid-state drive",99.99,25,9,20,"2026-09-17 17:12:04"
43,TechMarkt SSD 2TB,"2TB NVMe solid-state drive",179.99,20,9,15,"2026-09-17 17:12:04"
44,TechMarkt External 1TB,"1TB portable external SSD",119.99,25,9,20,"2026-09-17 17:12:04"
45,TechMarkt External 2TB,"2TB portable external SSD",199.99,17,9,12,"2026-09-17 17:12:04"
46,TechMarkt USB-C Hub,Multi-port USB-C connectivity hub,49.99,35,10,30,"2026-09-17 17:12:04"
47,TechMarkt Webcam HD,Full HD USB webcam,69.99,25,10,20,"2026-09-17 17:12:04"
48,TechMarkt Laptop Stand,Adjustable aluminum laptop stand,59.99,25,10,20,"2026-09-17 17:12:04"
49,TechMarkt USB-C Cable,Durable USB-C charging and data cable,19.99,55,10,50,"2026-09-17 17:12:04"
50,TechMarkt Power Bank,"20,000mAh portable power bank",49.99,45,10,40,"2026-09-17 17:12:04"
